experiment_name,status,learning_rate,per_device_train_batch_size,gradient_accumulation_steps,effective_batch_size,validation_wer,validation_cer,test_wer,test_cer,best_checkpoint,run_dir,error
lr_1e-05_effective_batch_16,success,1e-05,1,16,16,0.169296822274235,0.1693253119301621,0.20801077078424773,0.20800772675388532,/home/saisai/AD_predict/whisper_seniortalk_finetune/outputs/runs/lr_1e-05_effective_batch_16/checkpoint-2000,/home/saisai/AD_predict/whisper_seniortalk_finetune/outputs/runs/lr_1e-05_effective_batch_16,
lr_1e-05_effective_batch_32,success,1e-05,1,32,32,0.16292126764406026,0.162950306545867,0.20266928131356737,0.20266631545058097,/home/saisai/AD_predict/whisper_seniortalk_finetune/outputs/runs/lr_1e-05_effective_batch_32/checkpoint-1000,/home/saisai/AD_predict/whisper_seniortalk_finetune/outputs/runs/lr_1e-05_effective_batch_32,
lr_5e-06_effective_batch_16,success,5e-06,1,16,16,0.15719188409126808,0.15722141657214236,0.1736935302123425,0.17369098838060115,/home/saisai/AD_predict/whisper_seniortalk_finetune/outputs/runs/lr_5e-06_effective_batch_16/checkpoint-2955,/home/saisai/AD_predict/whisper_seniortalk_finetune/outputs/runs/lr_5e-06_effective_batch_16,
lr_5e-06_effective_batch_32,success,5e-06,1,32,32,0.15871397596243592,0.15874337731704166,0.18499114629827462,0.18498843913717916,/home/saisai/AD_predict/whisper_seniortalk_finetune/outputs/runs/lr_5e-06_effective_batch_32/checkpoint-1478,/home/saisai/AD_predict/whisper_seniortalk_finetune/outputs/runs/lr_5e-06_effective_batch_32,
